TP,FP,FN
99670,17,4
88590,365,8
108973,2785,136
108954,15,39
112221,413,2
117453,16,1
85323,100,3
112536,23,17
111042,12,1
77647,96,2
84878,80,3
85209,21,11
105884,67,6
116197,67,9
79332,42,27
83281,946,74
125855,42,212
106387,1019,168
97039,12114,243
91042,51,16
99342,150,2
118715,8,0
101939,8,738
91997,60,0
107876,5022,94
101954,0,1
113814,642,29
117584,1870,25
103570,2797,133
120383,1936,343
72808,70,0
76123,1346,164
106376,18,3
84531,3258,1340
91537,58,49
83720,48,2
99809,577,7
119259,61,0
105322,3053,58
95398,76,12
102880,1322,4
102306,956,18
77029,1444,19
84421,629,7
92555,315,27
102072,606,14
92714,605,23
87775,2305,16
98475,153,14
114907,120,44
90947,758,170
96481,693,93
142174,40,33
82095,1802,303
74943,1296,14
86013,1011,160
114369,570,6
100070,5334,146
100357,105,34
88493,276,46
84589,164,12
83828,3276,15
116239,664,249
235323,1319,121
111714,4096,219
99641,406,0
84408,216,18
103046,57843,524
143928,45,4
98607,83,121
125998,3574,103
99594,55374,1761
106716,33,3
152538,141,203
103816,36408,2418
105638,138,2
96236,295,7
122965,27,99
113309,24,8
105615,157,35
120087,55,11
115618,1240,1059
77117,22463,490
106665,38521,2970
100074,16,12
70225,13179,23830
