Record	TP	FP	FN
s20011	99670	16	4
s20021	88589	296	9
s20031	108972	2643	137
s20041	108951	14	42
s20051	112221	362	2
s20061	117453	15	1
s20071	85322	98	4
s20081	112536	21	17
s20091	111042	12	1
s20101	77646	71	3
s20111	84878	79	3
s20121	85209	19	11
s20131	105884	66	6
s20141	116197	67	9
s20151	79331	38	28
s20161	83275	689	80
s20171	125832	16	235
s20181	106384	959	171
s20191	96934	9069	348
s20201	91042	51	16
s20211	99342	142	2
s20221	118715	8	0
s20231	101897	6	780
s20241	91997	55	0
s20251	107871	3983	99
s20261	101954	0	1
s20271	113813	586	30
s20272	117584	1697	25
s20273	103570	2597	133
s20274	120376	1795	350
s20281	72808	67	0
s20291	76122	1126	165
s20301	106375	15	4
s20311	84530	2399	1341
s20321	91537	56	49
s20331	83720	46	2
s20341	99808	537	8
s20351	119259	60	0
s20361	105322	2907	58
s20371	95398	72	12
s20381	102880	612	4
s20391	102306	897	18
s20401	77029	1326	19
s20411	84421	600	7
s20421	92555	307	27
s20431	102072	587	14
s20441	92714	565	23
s20451	87775	2026	16
s20461	98475	130	14
s20471	114907	114	44
s20481	90947	720	170
s20491	96476	661	98
s20501	142174	40	33
s20511	82084	1741	314
s20521	74942	1279	15
s20531	86004	871	169
s20541	114369	551	6
s20551	100070	3763	146
s20561	100357	104	34
s20571	88492	269	47
s20581	84589	119	12
s20591	83828	2174	15
s20601	116195	432	293
s20611	235306	886	138
s20621	111709	3992	224
s20631	99641	373	0
s20641	84408	203	18
s20651	103008	33318	562
s30661	143928	43	4
s30671	98600	79	128
s30681	125998	3501	103
s30691	98791	12114	2564
s30701	106716	31	3
s30711	152488	122	253
s30721	103437	9605	2797
s30731	105638	106	2
s30732	96236	262	7
s30741	122964	26	100
s30742	113309	23	8
s30751	105612	141	38
s30752	120086	43	12
s30761	115212	263	1465
s30771	77018	6291	589
s30781	106233	13187	3402
s30791	100074	15	12
s30801	70178	13016	23877
